Km (M),Vm (M/min),E (M),Kcat (1/min),Temperature (C),Temperature (K),pH,Source,Notes
0.000166667,47.62,,,50,323.15,6,https://www.iosrjournals.org/iosr-jestft/papers/vol2-issue4/C0241923.pdf?id=3625,beta
,,,,,,,,
0.00425,,,687,85,358.15,5,https://www.sciencedirect.com/science/article/pii/S014102291400060X?via%3Dihub,alpha w/ maltotrirose
0.0182,,,237,85,358.15,5,https://www.sciencedirect.com/science/article/pii/S014102291400060X?via%3Dihub,alpha w/ maltotetrose
0.0162,,,231,85,358.15,5,https://www.sciencedirect.com/science/article/pii/S014102291400060X?via%3Dihub,alpha w/ maltopentose
9.73E-05,0.00043125,,,55,328.15,6,https://www.sciencedirect.com/science/article/pii/S1359511316305244,alpha immobilized
3.95634E-08,3.41473E-10,,,30,303.15,5.02,https://www.sciencedirect.com/science/article/pii/S0040603114000239,no mention of molar mass but assumed to be 50 kDa
4.19401E-08,3.43459E-10,,,37,310.15,5.02,https://www.sciencedirect.com/science/article/pii/S0040603114000239,no mention of molar mass but assumed to be 50 kDa
4.28853E-08,3.44675E-10,,,40,313.15,5.02,https://www.sciencedirect.com/science/article/pii/S0040603114000239,no mention of molar mass but assumed to be 50 kDa
4.23288E-08,3.43664E-10,,,44,317.15,5.02,https://www.sciencedirect.com/science/article/pii/S0040603114000239,no mention of molar mass but assumed to be 50 kDa
4.06473E-08,3.41062E-10,,,48,321.15,5.02,https://www.sciencedirect.com/science/article/pii/S0040603114000239,no mention of molar mass but assumed to be 50 kDa
