Time [min],Glucose [M/min],Fructose [M/min],Sucrose [M/min]
0,0.0,0.0,0.029214139643587496
1,0.0037539603264618547,0.0037539603264618547,0.025460179317125638
2,0.007202931230216469,0.007202931230216469,0.022011208413371022
3,0.010340150875400193,0.010340150875400193,0.018873988768187303
4,0.013163392695987656,0.013163392695987656,0.016050746947599843
5,0.015675597148571453,0.015675597148571453,0.013538542495016041
6,0.01788516762817121,0.01788516762817121,0.01132897201541628
7,0.01980587253212001,0.01980587253212001,0.009408267111467486
8,0.021456352627374296,0.021456352627374296,0.007757787016213199
9,0.022858892600587443,0.022858892600587443,0.006355247043000048
10,0.024038331385388276,0.024038331385388276,0.005175808258199218
11,0.02502068659073127,0.02502068659073127,0.004193453052856223
12,0.02583191613264689,0.02583191613264689,0.0033822235109406055
13,0.026496657458344654,0.026496657458344654,0.002717482185242843
14,0.02703785460626226,0.02703785460626226,0.0021762850373252362
15,0.027475987781860573,0.027475987781860573,0.0017381518617269197
16,0.027829018802116988,0.027829018802116988,0.0013851208414705051
17,0.02811237026875789,0.02811237026875789,0.0011017693748296051
18,0.028339062203120182,0.028339062203120182,0.0008750774404673108
19,0.028519949134348833,0.028519949134348833,0.0006941905092386598
20,0.028663978136443093,0.028663978136443093,0.0005501615071443973
21,0.02877846292564649,0.02877846292564649,0.0004356767179409999
22,0.028869338490529303,0.028869338490529303,0.0003448011530581898
23,0.028941393711334598,0.028941393711334598,0.0002727459322528938
24,0.028998476046070306,0.028998476046070306,0.00021566359751718468
25,0.02904366286743761,0.02904366286743761,0.0001704767761498825
26,0.029079416593077462,0.029079416593077462,0.0001347230505100306
27,0.029107693132216946,0.029107693132216946,0.00010644651137054414
28,0.029130048472977614,0.029130048472977614,8.409117060987588e-05
29,0.029147717286766156,0.029147717286766156,6.642235682133686e-05
30,0.029161678246608737,0.029161678246608737,5.24613969787544e-05
31,0.02917270821230169,0.02917270821230169,4.14314312858051e-05
32,0.02918142161492973,0.02918142161492973,3.2718028657759706e-05
33,0.029188303502826026,0.029188303502826026,2.583614076146548e-05
34,0.029193738148687757,0.029193738148687757,2.0401494899732916e-05
35,0.029198030720323582,0.029198030720323582,1.6108923263906817e-05
36,0.02920142044780976,0.02920142044780976,1.2719195777725989e-05
37,0.029204096869190357,0.029204096869190357,1.0042774397131227e-05
38,0.029206210299463704,0.029206210299463704,7.92934412378109e-06
39,0.02920787906591261,0.02920787906591261,6.260577674871847e-06
40,0.029209196667069594,0.029209196667069594,4.942976517890696e-06
41,0.029210237029760756,0.029210237029760756,3.902613826728663e-06
42,0.029211058365241578,0.029211058365241578,3.0812783459044594e-06
43,0.029211706623461463,0.029211706623461463,2.4330201260214344e-06
44,0.029212219065352183,0.029212219065352183,1.9205782353044548e-06
45,0.02921262429845921,0.02921262429845921,1.5153451282793692e-06
46,0.029212943497229183,0.029212943497229183,1.1961463583016046e-06
47,0.029213195393238862,0.029213195393238862,9.442503486227061e-07
48,0.02921339359043065,0.02921339359043065,7.460531568370211e-07
49,0.029213550225829565,0.029213550225829565,5.894177579212968e-07
50,0.02921367415306921,0.02921367415306921,4.654905182756301e-07
51,0.02921377201612357,0.02921377201612357,3.6762746391670636e-07
52,0.02921384918255012,0.02921384918255012,2.9046103736419746e-07
53,0.029213909923235155,0.029213909923235155,2.2972035233085274e-07
54,0.029213957853113478,0.029213957853113478,1.81790474006357e-07
55,0.029213995565248146,0.029213995565248146,1.4407833933612617e-07
56,0.029214025889073007,0.029214025889073007,1.1375451447550223e-07
57,0.02921405007283997,0.02921405007283997,8.957074751438999e-08
58,0.029214069245611308,0.029214069245611308,7.039797617531209e-08
59,0.02921408483888124,0.02921408483888124,5.480470623958614e-08
60,0.02921409633348014,0.02921409633348014,4.331010734058522e-08
61,0.02921410570451482,0.02921410570451482,3.393907266172597e-08
62,0.02921411319057214,0.02921411319057214,2.6453015340087993e-08
63,0.029214118830935318,0.029214118830935318,2.0812652160847034e-08
64,0.029214123206332085,0.029214123206332085,1.6437255395515363e-08
65,0.029214126603509215,0.029214126603509215,1.3040078264755472e-08
66,0.029214129173278102,0.029214129173278102,1.0470309377092849e-08
67,0.029214131270103395,0.029214131270103395,8.373484086456339e-09
68,0.029214132919589474,0.029214132919589474,6.723998006194502e-09
69,0.029214134266275834,0.029214134266275834,5.377311647778591e-09
70,0.029214135355390185,0.029214135355390185,4.288197297798295e-09
71,0.029214136225293428,0.029214136225293428,3.418294053888542e-09
72,0.029214136932798375,0.029214136932798375,2.7107891071441605e-09
73,0.029214137485434187,0.029214137485434187,2.1581532942349666e-09
74,0.029214137932276257,0.029214137932276257,1.711311223596927e-09
75,0.029214138282819907,0.029214138282819907,1.360767575035098e-09
76,0.029214138559460708,0.029214138559460708,1.0841267728073105e-09
77,0.029214138782172272,0.029214138782172272,8.614152100243129e-10
78,0.02921413895516253,0.02921413895516253,6.884249525822522e-10
79,0.029214139095974527,0.029214139095974527,5.47612952877345e-10
80,0.029214139220065813,0.029214139220065813,4.2352166735022854e-10
81,0.029214139390232402,0.029214139390232402,2.5335507509083397e-10
82,0.029214139541991584,0.029214139541991584,1.0159589508059361e-10
83,0.02921413967534335,0.02921413967534335,-3.17558726804961e-11
84,0.029214139790287707,0.029214139790287707,-1.4670022819243336e-10
85,0.02921413988682465,0.02921413988682465,-2.432371714552171e-10
86,0.029214139964954183,0.029214139964954183,-3.213667024688496e-10
87,0.0292141400246763,0.0292141400246763,-3.81088821233329e-10
88,0.029214140065991007,0.029214140065991007,-4.2240352774865675e-10
89,0.0292141400888983,0.0292141400888983,-4.4531082201483177e-10
90,0.02921414009339818,0.02921414009339818,-4.4981070403185474e-10
91,0.029214140079490653,0.029214140079490653,-4.3590317379972515e-10
92,0.02921414004717571,0.02921414004717571,-4.035882313184436e-10
93,0.029214139996453354,0.029214139996453354,-3.5286587658800926e-10
94,0.029214139957654327,0.029214139957654327,-3.140668502810613e-10
95,0.029214139976597147,0.029214139976597147,-3.3300966951810236e-10
96,0.029214139990894766,0.029214139990894766,-3.4730728790733974e-10
97,0.029214140000547183,0.029214140000547183,-3.569597054487734e-10
98,0.0292141400055544,0.0292141400055544,-3.619669221424035e-10
99,0.029214140005916416,0.029214140005916416,-3.6232893798822997e-10
