,Time [min],Glucose [M],Fructose [M],Sucrose [M],Forward Rate [M/s]
0,0,0,0,0.02921414,0.000805045
1,4.848484848,0.00375396,0.00375396,0.025460179,0.000743101
2,9.696969697,0.007202931,0.007202931,0.022011208,0.000679359
3,14.54545455,0.010340151,0.010340151,0.018873989,0.000614664
4,19.39393939,0.013163393,0.013163393,0.016050747,0.000550024
5,24.24242424,0.015675597,0.015675597,0.013538542,0.00048655
6,29.09090909,0.017885168,0.017885168,0.011328972,0.000425379
7,33.93939394,0.019805873,0.019805873,0.009408267,0.000367573
8,38.78787879,0.021456353,0.021456353,0.007757787,0.000314022
9,43.63636364,0.022858893,0.022858893,0.006355247,0.000265384
10,48.48484848,0.024038331,0.024038331,0.005175808,0.000222037
11,53.33333333,0.025020687,0.025020687,0.004193453,0.000184083
12,58.18181818,0.025831916,0.025831916,0.003382224,0.000151383
13,63.03030303,0.026496657,0.026496657,0.002717482,0.000123616
14,67.87878788,0.027037855,0.027037855,0.002176285,0.000100331
15,72.72727273,0.027475988,0.027475988,0.001738152,8.10E-05
16,77.57575758,0.027829019,0.027829019,0.001385121,6.51E-05
17,82.42424242,0.02811237,0.02811237,0.001101769,5.22E-05
18,87.27272727,0.028339062,0.028339062,0.000875077,4.17E-05
19,92.12121212,0.028519949,0.028519949,0.000694191,3.32E-05
20,96.96969697,0.028663978,0.028663978,0.000550162,2.64E-05
21,101.8181818,0.028778463,0.028778463,0.000435677,2.10E-05
22,106.6666667,0.028869338,0.028869338,0.000344801,1.67E-05
23,111.5151515,0.028941394,0.028941394,0.000272746,1.32E-05
24,116.3636364,0.028998476,0.028998476,0.000215664,1.05E-05
25,121.2121212,0.029043663,0.029043663,0.000170477,8.27E-06
26,126.0606061,0.029079417,0.029079417,0.000134723,6.54E-06
27,130.9090909,0.029107693,0.029107693,0.000106447,5.17E-06
28,135.7575758,0.029130048,0.029130048,8.41E-05,4.09E-06
29,140.6060606,0.029147717,0.029147717,6.64E-05,3.23E-06
